state,percent
Uttar Pradesh,16.49
Maharashtra,9.28
Bihar,8.58
West Bengal,7.55
Madhya Pradesh,6
Tamil Nadu,5.96
Rajasthan,5.67
Karnataka,5.05
Gujarat,5
Andhra Pradesh,4.08
Odisha,3.47
Telangana,2.97
Kerala,2.76
Jharkhand,2.72
Assam,2.58
Punjab,2.3
Chhattisgarh,2.11
Haryana,2.09
Jammu and Kashmir,1.04
Uttarakhand,0.84
Himachal Pradesh,0.57
Tripura,0.3
Meghalaya,0.24
Manipur,0.22
Nagaland,0.16
Goa,0.12
Arunachal Pradesh,0.11
Mizoram,0.09
Sikkim,0.05
Delhi,1.38
Puducherry,0.1
Chandigarh,0.09
Andaman and Nicobar Islands,0.03
Dadra and Nagar Haveli,0.03
Daman and Diu,0.02
Lakshadweep,0.01
